name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13];pcm_fftMag_mfcc[14];pcm_fftMag_mfcc[15];pcm_fftMag_mfcc[16];pcm_fftMag_mfcc[17];pcm_fftMag_mfcc[18];pcm_fftMag_mfcc[19];pcm_fftMag_mfcc[20];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de[13];pcm_fftMag_mfcc_de[14];pcm_fftMag_mfcc_de[15];pcm_fftMag_mfcc_de[16];pcm_fftMag_mfcc_de[17];pcm_fftMag_mfcc_de[18];pcm_fftMag_mfcc_de[19];pcm_fftMag_mfcc_de[20];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12];pcm_fftMag_mfcc_de_de[13];pcm_fftMag_mfcc_de_de[14];pcm_fftMag_mfcc_de_de[15];pcm_fftMag_mfcc_de_de[16];pcm_fftMag_mfcc_de_de[17];pcm_fftMag_mfcc_de_de[18];pcm_fftMag_mfcc_de_de[19];pcm_fftMag_mfcc_de_de[20]
'unknown';0.000000;-2.203997e+001;8.151743e+000;-1.067972e+001;-6.934814e+000;-2.504554e+001;-2.253161e+001;-9.186684e+000;2.826485e+000;-1.544122e+000;1.183047e+000;5.717304e-002;7.998260e+000;7.110769e+000;8.463054e-001;-3.833220e+000;-3.316244e+000;-2.317088e+000;-5.079878e+000;-4.057627e+000;-3.339388e+000;8.122757e+001;2.809988e-001;-5.177275e+000;-4.031663e+000;8.328472e-001;5.077555e+000;1.152716e+000;-4.962977e+000;-4.803270e+000;-2.540137e-001;6.878386e-001;-4.864974e+000;3.821927e-001;1.439738e+000;1.239189e+000;2.604767e+000;1.363126e+000;9.410419e-001;-1.306135e+000;-8.736846e-001;7.991102e-001;1.797249e+000;7.251958e-002;-2.637264e-001;2.446733e-001;3.422650e-001;1.397451e-001;-8.725257e-001;6.285903e-001;5.906401e-001;-9.987018e-002;-2.099776e+000;-2.475118e-001;-1.909013e-001;-5.679085e-001;-7.250344e-001;-3.230492e-001;-6.448609e-001;-3.765635e-001;4.172713e-001;5.857041e-001;-1.605781e-001;1.376742e-001
'unknown';0.010000;-2.020916e+001;-3.269470e+000;-2.217271e+001;-7.958076e+000;-6.710844e+000;-1.292991e+001;-1.785884e+001;-9.638193e-001;2.751915e+000;9.105437e+000;-6.190475e+000;1.063018e+001;3.544266e+000;4.329314e+000;3.777694e+000;3.786927e+000;2.046415e+000;-6.476394e+000;-8.839944e+000;-1.367205e+000;8.550150e+001;3.216696e-001;-6.355340e+000;-4.367243e+000;1.452066e+000;6.540781e+000;-5.147865e-001;-5.247241e+000;-4.671957e+000;-6.612321e-001;-3.483875e+000;-5.415525e+000;6.056429e-001;6.585068e-001;9.080865e-002;2.818735e+000;-5.342069e-001;1.685405e-001;-2.996778e-001;2.062765e-001;4.639332e-001;2.378071e+000;-4.576953e-001;7.588301e-001;1.438036e+000;9.296441e-002;-9.982986e-001;-4.387360e-001;1.927646e+000;1.527954e+000;4.264801e-001;-2.785337e+000;2.216728e-001;-7.905254e-001;-1.301266e+000;-1.290573e+000;-5.222082e-001;-7.268273e-001;-4.982949e-001;7.041950e-001;8.141809e-001;-1.911479e-001;1.240605e-001
'unknown';0.020000;-2.155038e+001;-1.202402e+001;-2.509154e+001;-2.258948e+000;-8.825109e+000;-2.156888e+001;-2.966549e+001;-1.929471e+001;-4.962209e+000;6.610450e-001;-2.114387e+001;8.593266e+000;1.609271e+001;5.300748e+000;5.385159e+000;-5.220056e-002;2.063708e-001;-1.091229e+001;-6.034891e+000;-3.299283e-001;8.807685e+001;6.232613e-001;-5.906874e+000;-2.640506e+000;2.234563e+000;5.044668e+000;-2.376162e+000;-1.677894e+000;-1.915726e+000;-5.497553e-001;-7.725184e+000;-5.827257e+000;-6.840390e-001;-1.009190e+000;-1.811792e+000;8.825372e-001;-9.125128e-001;-5.555248e-001;2.769933e-001;1.514855e+000;1.638082e-001;2.195209e+000;-5.010182e-001;2.158878e+000;2.417436e+000;-6.069056e-001;-2.644767e+000;7.702879e-001;2.700883e+000;1.346578e+000;7.207831e-001;-1.062103e+000;1.408238e+000;-1.802536e+000;-2.107402e+000;-1.322429e+000;-9.957034e-001;-7.736722e-001;-9.114103e-002;9.164174e-001;5.361484e-001;-1.274813e-001;2.507197e-001
'unknown';0.030000;-2.067641e+001;-1.353708e+001;-2.531003e+001;-2.012419e+000;-4.518467e-001;-2.558691e+001;-2.518349e+001;-9.472699e+000;-3.141239e+000;-1.597533e+001;-1.641993e+001;1.072897e+001;5.912333e+000;-9.268728e-001;5.651266e+000;-7.619299e+000;-2.736114e+000;-3.662060e+000;-2.037612e+000;-2.524451e+000;8.969328e+001;-2.178609e+000;-1.018325e+000;2.462939e+000;5.968116e-001;1.025058e-001;7.234743e-001;3.032711e+000;1.392728e+000;2.026258e+000;-9.032337e+000;-3.275468e+000;-3.037319e+000;-3.842131e+000;-3.688185e+000;8.548414e-001;-1.133192e+000;-8.021494e-001;1.423277e+000;2.002950e+000;1.610218e-001;2.218571e+000;4.292523e-001;3.801693e+000;3.459823e+000;-8.313118e-001;-4.202697e+000;1.408615e+000;2.289196e+000;-6.851228e-001;7.345960e-002;2.890169e+000;2.779731e+000;-2.107989e+000;-1.111454e+000;-1.958431e-002;-1.053423e+000;-3.531881e-001;3.185238e-001;3.888808e-001;-2.740574e-001;1.853582e-002;8.477612e-001
'unknown';0.040000;-1.869003e+001;-1.624882e+001;-2.231359e+001;1.265170e+000;-2.951697e+000;-2.808392e+001;-1.391383e+001;-2.497707e+000;-1.346322e+000;-2.490250e+001;-2.396438e+001;4.528667e+000;8.807872e-001;-5.584561e+000;-3.573197e-001;-2.175694e+000;-2.703447e+000;-5.102079e+000;1.154836e-001;-1.941723e+000;9.010772e+001;-9.739525e-001;2.948607e+000;4.640426e+000;-1.774053e+000;-4.927143e+000;4.385025e+000;4.401464e+000;-1.102723e+000;2.006156e+000;-1.848445e+000;1.106186e+000;-6.809007e+000;-6.846951e+000;-3.483457e+000;-1.391803e+000;-2.205743e+000;9.706818e-001;2.414475e+000;9.087211e-001;3.131596e-001;3.130597e+000;2.187428e+000;3.809668e+000;3.046666e+000;-5.699986e-001;-3.653884e+000;1.253011e+000;8.460081e-001;-2.456800e+000;-6.775680e-001;5.408088e+000;3.627191e+000;-6.560645e-001;3.843199e-001;1.193673e+000;-5.769666e-001;-4.167464e-001;2.440226e-001;-1.071243e-001;-9.170038e-001;1.383518e-001;1.861339e+000
'unknown';0.050000;-3.253238e+001;-6.248695e+000;-1.124699e+001;-6.736077e+000;-9.135020e+000;-6.055020e+000;-1.057112e+001;-2.398682e+000;1.107526e+001;-2.327448e+001;-2.115756e+001;-2.524119e+000;-8.060431e+000;-8.668960e+000;1.092314e+001;-8.172856e-001;-5.094229e-001;-2.265118e+000;-1.900383e+000;2.438020e-001;9.557892e+001;3.266538e+000;8.225385e+000;9.291405e+000;-7.001854e-001;-9.486797e+000;3.147694e+000;3.159060e+000;-8.504072e+000;-1.571890e+000;8.028599e+000;5.016408e+000;-6.871819e+000;-1.979880e+000;8.287196e-001;-1.311209e+000;-1.653532e+000;9.980564e-001;5.759853e-001;-8.609434e-001;4.819366e-001;6.149183e+000;4.052251e+000;1.224615e+000;1.484161e+000;7.706844e-002;-1.884393e+000;-7.636815e-002;-7.017572e-001;-1.266107e+000;-1.698822e+000;4.817756e+000;2.479769e+000;1.671117e+000;1.685628e+000;1.068221e+000;-3.844836e-001;-2.981617e-002;5.387591e-002;-7.345737e-001;-7.879366e-001;1.957974e-001;2.492472e+000
'unknown';0.060000;-2.049216e+001;-9.251807e-001;-8.920933e+000;-8.767385e+000;-2.911924e+001;-9.409698e+000;-1.496435e+001;-2.834534e+001;-2.039677e+000;-4.931606e+000;-1.324413e+001;-1.882523e+001;-1.115566e+001;-8.245495e+000;-4.209794e+000;-1.448192e+001;3.946434e+000;4.616115e-001;-1.559900e+000;-1.482572e-001;1.007870e+002;8.837825e+000;8.519613e+000;9.178591e+000;3.306792e-002;-8.430102e+000;2.676786e+000;2.488972e+000;-9.251328e+000;-2.138521e+000;1.078479e+001;8.162761e+000;-2.047111e+000;-1.871573e-002;1.898119e+000;-9.192705e-001;-2.736075e+000;-2.355146e-001;1.650175e-001;-1.638217e+000;6.951098e-001;9.536598e+000;2.902712e+000;-1.905594e+000;1.846719e-001;-9.938173e-002;9.174894e-001;-8.651811e-001;-1.117499e+000;3.354369e+000;-1.464486e+000;1.286294e+000;-7.175838e-001;3.937915e+000;1.753303e+000;-2.860602e-001;1.020287e+000;5.274654e-001;-1.214470e-002;-1.244572e+000;-1.359492e-001;3.050730e-001;2.291625e+000
'unknown';0.070000;-3.442658e+000;1.992802e+001;1.445067e+001;-4.970678e-001;-3.480206e+001;-1.918555e+001;-8.862925e+000;-3.906924e+001;-1.065401e+001;1.418222e+001;3.301979e+000;-1.195318e+001;2.031158e+000;4.547192e+000;1.021459e+000;-9.733846e+000;-1.070773e+000;-3.563978e+000;-5.504637e+000;-1.011501e+000;1.150995e+002;1.317676e+001;2.319248e+000;7.614660e+000;7.859316e-002;-7.567978e+000;1.195753e+000;4.801706e-001;-8.635031e-001;-4.395514e+000;8.739824e+000;5.595091e+000;2.937318e+000;1.171890e+000;-1.037867e+000;-1.303843e+000;-1.017107e+000;7.032835e-002;-1.124863e+000;-6.632642e-001;9.490339e-001;1.147793e+001;-3.681374e-001;-4.412644e+000;-1.589193e+000;-1.105396e+000;3.072584e+000;-4.658532e-001;-1.376076e+000;7.172582e+000;-8.867717e-001;-2.038552e+000;-4.451563e+000;3.810796e+000;3.088410e-001;-2.127551e+000;1.856182e+000;3.407269e-001;7.176985e-001;-1.203212e+000;5.883387e-001;2.764437e-001;9.466919e-001
'unknown';0.080000;1.095424e+001;1.326089e+001;1.073053e+001;-1.688995e+000;-3.226869e+001;-8.134727e+000;-2.323071e+000;-3.041906e+001;-1.174292e+000;1.029309e+001;4.619652e+000;-9.923599e-001;-4.258586e+000;-2.702040e+000;-2.831924e-003;-1.139779e+001;-3.600345e+000;-3.627561e+000;-6.273475e+000;2.161478e+000;1.280304e+002;8.584500e+000;-3.626297e+000;6.402158e+000;-2.660351e+000;-1.299105e+000;1.035089e+000;1.534130e-001;1.184884e+001;-3.904462e+000;4.227410e+000;-2.771075e+000;7.976001e+000;3.436773e-001;-3.980464e+000;3.705948e+000;1.133712e-001;1.373822e+000;-2.957962e+000;1.301354e-001;1.604976e+000;1.192434e+001;-3.558029e+000;-3.570334e+000;-1.739608e+000;-9.258364e-001;3.189920e+000;-6.858930e-001;-1.966366e+000;6.316162e+000;-6.984593e-001;-2.584315e+000;-6.375745e+000;1.993336e+000;1.005187e-001;-1.963625e+000;2.153617e+000;9.451385e-002;1.380684e+000;-1.243908e+000;7.096659e-001;-5.238696e-002;-7.545872e-001
'unknown';0.090000;1.762820e+001;-1.745488e+000;1.700058e+001;-9.882306e+000;-4.540018e+001;-7.137407e-001;-1.449091e+001;-5.679334e+000;-1.133500e+001;1.281230e+001;-2.113996e+000;3.246037e+000;-5.649520e+000;-1.663002e+001;2.300444e+000;-7.444887e+000;3.615608e+000;-5.844848e+000;-2.859916e+000;3.834104e+000;1.393469e+002;1.552513e+000;-7.764883e+000;2.733657e+000;-4.880456e+000;2.310626e+000;1.639276e+000;-2.553539e+000;1.680875e+001;-5.122778e+000;1.114529e+000;-1.177449e+001;7.170603e+000;-6.168714e-001;-6.869743e+000;5.657091e+000;-1.374621e+000;3.781881e+000;-3.878583e+000;1.196574e+000;1.409222e+000;9.688769e+000;-4.592036e+000;-5.976697e-001;-1.495654e+000;2.877037e-001;2.251472e+000;-1.016913e+000;-1.639802e+000;1.641223e+000;5.861443e-001;-1.860127e+000;-4.501363e+000;2.969765e-001;6.023028e-002;-4.747579e-001;1.327676e+000;-3.378577e-001;7.649742e-001;-6.597628e-001;2.784492e-001;-3.840500e-001;-2.086843e+000
