name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.150000;3.460125e+000;-1.001286e+001;1.567152e+001;7.865877e-002;-5.793720e-002;1.513214e+000;2.694996e+001;-2.424423e+000;4.060428e+001;-1.959403e-001;2.332003e+001;2.067651e-002;3.546247e-001;3.192631e+000;3.215070e+000;9.733029e+000;3.376991e+002;1.068253e+003;6.047798e+000;1.416012e+003;-1.690450e+001;2.403982e+003;-3.357231e+000
'unknown';0.160000;3.382576e+000;-1.067017e+001;1.478279e+001;9.947331e-002;-5.511985e-002;1.675140e+000;2.724403e+001;-8.727151e-001;4.148721e+001;4.349582e+000;2.315428e+001;1.032474e-002;4.359246e-001;1.520661e+000;2.538744e+000;1.059035e+001;3.392570e+002;1.068217e+003;5.023295e+000;1.414732e+003;-1.953624e+001;2.367414e+003;-5.270507e+000
'unknown';0.170000;2.808888e+000;-1.351581e+001;1.542889e+001;1.012221e-001;-5.409641e-002;2.548428e+000;2.905717e+001;4.247082e+000;3.851931e+001;9.160880e+000;2.300436e+001;2.578695e-003;3.139852e-001;-9.957253e-001;2.766263e+000;1.406873e+001;3.583280e+002;1.017812e+003;4.560438e+000;1.437658e+003;-2.285858e+001;2.331790e+003;-9.617894e+000
'unknown';0.180000;1.958725e+000;-1.581642e+001;1.821066e+001;8.630753e-002;-4.849207e-002;3.408003e+000;3.170266e+001;7.948284e+000;3.398978e+001;1.561834e+001;2.318097e+001;2.578695e-003;3.139852e-001;-2.367626e+000;4.799322e+000;2.015454e+001;3.707917e+002;9.661814e+002;3.398151e+000;1.428904e+003;-2.785861e+001;2.310077e+003;-1.605696e+001
'unknown';0.190000;1.171843e+000;-1.773718e+001;2.242798e+001;4.477395e-002;-4.244841e-002;3.239807e+000;3.303932e+001;1.209699e+001;3.174648e+001;2.047255e+001;2.335411e+001;2.578695e-003;3.139852e-001;-1.445335e+000;9.463902e+000;2.647824e+001;3.682281e+002;9.527424e+002;6.129940e-001;1.425247e+003;-2.812556e+001;2.302630e+003;-2.232462e+001
'unknown';0.200000;7.295510e-001;-1.929456e+001;2.588963e+001;2.386215e-002;-3.484782e-002;2.235370e+000;3.369256e+001;1.459246e+001;2.927617e+001;2.009644e+001;2.356667e+001;2.578695e-003;3.139852e-001;1.422104e+000;1.599536e+001;3.130060e+001;3.665151e+002;9.725345e+002;6.972249e-001;1.427873e+003;-2.914415e+001;2.336177e+003;-2.664654e+001
'unknown';0.210000;5.681611e-001;-2.401422e+001;3.027672e+001;2.271202e-002;-3.403934e-002;1.027051e+000;3.604254e+001;2.110595e+001;2.593135e+001;1.606653e+001;2.356180e+001;2.016543e-002;2.216190e+000;3.506100e+000;2.083986e+001;3.088049e+001;3.918020e+002;1.155833e+003;9.582440e-001;1.331487e+003;-3.112981e+001;2.281806e+003;-2.623466e+001
'unknown';0.220000;5.432882e-001;-2.656716e+001;3.222265e+001;4.607607e-002;-3.376386e-002;6.136653e-001;3.846694e+001;2.356918e+001;2.119163e+001;1.221573e+001;2.361653e+001;2.755430e-002;3.796549e+000;3.690137e+000;2.109739e+001;3.337891e+001;4.677320e+002;1.304532e+003;-4.702820e+000;1.449134e+003;-2.977899e+001;2.531755e+003;-2.989101e+001
'unknown';0.230000;5.735766e-001;-2.720306e+001;3.325517e+001;5.753047e-002;-3.494564e-002;4.917112e-001;4.077739e+001;2.356356e+001;1.867428e+001;1.185485e+001;2.370756e+001;3.494317e-002;5.376907e+000;3.115649e+000;1.724478e+001;2.816689e+001;4.859848e+002;1.369664e+003;-8.471196e+000;1.507755e+003;-2.705957e+001;2.488536e+003;-2.621017e+001
'unknown';0.240000;5.633302e-001;-2.407837e+001;2.931810e+001;4.965154e-002;-3.019359e-002;3.915925e-001;4.110528e+001;1.732787e+001;2.098018e+001;1.732213e+001;2.371556e+001;2.474531e-002;5.055060e+000;2.415532e+000;1.273423e+001;2.543580e+001;4.602439e+002;1.244181e+003;-1.122690e+001;1.582947e+003;-2.318413e+001;2.534372e+003;-2.440755e+001
